baseline,shape,impl,size,gibps
simd_avx2,ascii,std_from_utf8,512,24.71171
simd_avx2,ascii,smoothutf8_slack,512,41.91975
simd_avx2,ascii,smoothutf8_slackbuf,512,40.16824
simd_avx2,ascii,smoothutf8,1024,54.55803
simd_avx2,ascii,simdutf8,1024,55.04296
simd_avx2,ascii,std_from_utf8,1024,28.54031
simd_avx2,ascii,smoothutf8_slack,1024,53.17392
simd_avx2,ascii,smoothutf8_slackbuf,1024,51.85831
simd_avx2,ascii,smoothutf8,2048,60.32859
simd_avx2,ascii,simdutf8,2048,60.19531
simd_avx2,ascii,std_from_utf8,2048,30.86824
simd_avx2,ascii,smoothutf8_slack,2048,59.40971
simd_avx2,ascii,smoothutf8_slackbuf,2048,59.06018
simd_avx2,ascii,smoothutf8,4096,63.94919
simd_avx2,ascii,simdutf8,4096,64.26810
simd_avx2,ascii,std_from_utf8,4096,27.86077
simd_avx2,ascii,smoothutf8_slack,4096,63.30712
simd_avx2,ascii,smoothutf8_slackbuf,4096,63.24624
simd_avx2,ascii,smoothutf8,8192,57.34231
simd_avx2,ascii,simdutf8,8192,65.98681
simd_avx2,ascii,std_from_utf8,8192,30.36575
simd_avx2,ascii,smoothutf8_slack,8192,65.80468
simd_avx2,ascii,smoothutf8_slackbuf,8192,65.24196
simd_avx2,ascii,smoothutf8,16384,62.79079
simd_avx2,ascii,simdutf8,16384,62.80371
simd_avx2,ascii,std_from_utf8,16384,32.16304
simd_avx2,ascii,smoothutf8_slack,16384,62.60016
simd_avx2,ascii,smoothutf8_slackbuf,16384,62.89172
simd_avx2,ascii,smoothutf8,32768,65.28662
simd_avx2,ascii,simdutf8,32768,65.37753
simd_avx2,ascii,std_from_utf8,32768,32.84815
simd_avx2,ascii,smoothutf8_slack,32768,65.28383
simd_avx2,ascii,smoothutf8_slackbuf,32768,65.52211
simd_avx2,ascii,smoothutf8,65536,43.29349
simd_avx2,ascii,simdutf8,65536,43.64018
simd_avx2,ascii,std_from_utf8,65536,26.12695
simd_avx2,ascii,smoothutf8_slack,65536,43.56231
simd_avx2,ascii,smoothutf8_slackbuf,65536,43.37964
simd_avx2,ascii,smoothutf8,131072,43.61056
simd_avx2,ascii,simdutf8,131072,43.66359
simd_avx2,ascii,std_from_utf8,131072,26.17737
simd_avx2,ascii,smoothutf8_slack,131072,43.58876
simd_avx2,ascii,smoothutf8_slackbuf,131072,43.67609
simd_avx2,ascii,smoothutf8,262144,43.63706
simd_avx2,ascii,simdutf8,262144,43.70346
simd_avx2,ascii,std_from_utf8,262144,26.24096
simd_avx2,ascii,smoothutf8_slack,262144,43.30731
simd_avx2,ascii,smoothutf8_slackbuf,262144,43.68313
simd_avx2,ascii,smoothutf8,524288,43.34883
simd_avx2,ascii,simdutf8,524288,43.36808
simd_avx2,ascii,std_from_utf8,524288,26.13366
simd_avx2,ascii,smoothutf8_slack,524288,43.35268
simd_avx2,ascii,smoothutf8_slackbuf,524288,43.64720
simd_avx2,ascii,smoothutf8,1048576,43.42594
simd_avx2,ascii,simdutf8,1048576,43.37001
simd_avx2,ascii,std_from_utf8,1048576,26.13156
simd_avx2,ascii,smoothutf8_slack,1048576,43.32960
simd_avx2,ascii,smoothutf8_slackbuf,1048576,43.37964
simd_avx2,ascii,smoothutf8,2097152,36.28388
simd_avx2,ascii,simdutf8,2097152,36.28590
simd_avx2,ascii,std_from_utf8,2097152,22.80889
simd_avx2,ascii,smoothutf8_slack,2097152,36.35953
simd_avx2,ascii,smoothutf8_slackbuf,2097152,36.15559
simd_avx2,ascii,smoothutf8,4194304,23.07567
simd_avx2,ascii,simdutf8,4194304,22.98335
simd_avx2,ascii,std_from_utf8,4194304,19.76047
simd_avx2,ascii,smoothutf8_slack,4194304,23.04436
simd_avx2,ascii,smoothutf8_slackbuf,4194304,22.97524
simd_avx2,ascii,smoothutf8,8388608,22.92468
simd_avx2,ascii,simdutf8,8388608,22.88505
simd_avx2,ascii,std_from_utf8,8388608,19.61067
simd_avx2,ascii,smoothutf8_slack,8388608,22.94487
simd_avx2,ascii,smoothutf8_slackbuf,8388608,22.89176
simd_avx2,ascii,smoothutf8,16777216,22.89813
simd_avx2,ascii,simdutf8,16777216,22.78594
simd_avx2,ascii,std_from_utf8,16777216,19.61190
simd_avx2,ascii,smoothutf8_slack,16777216,22.89881
simd_avx2,ascii,smoothutf8_slackbuf,16777216,22.78727
simd_avx2,ascii,smoothutf8,33554432,22.86530
simd_avx2,ascii,simdutf8,33554432,22.86530
simd_avx2,ascii,std_from_utf8,33554432,19.55569
simd_avx2,ascii,smoothutf8_slack,33554432,22.86530
simd_avx2,ascii,smoothutf8_slackbuf,33554432,22.86530
simd_avx2,ascii,smoothutf8,67108864,22.74630
simd_avx2,ascii,simdutf8,67108864,22.63591
simd_avx2,ascii,std_from_utf8,67108864,19.05314
simd_avx2,ascii,smoothutf8_slack,67108864,22.74216
simd_avx2,ascii,smoothutf8_slackbuf,67108864,22.74299
simd_avx2,ascii,smoothutf8,134217728,17.26305
simd_avx2,ascii,simdutf8,134217728,17.14678
simd_avx2,ascii,std_from_utf8,134217728,11.24101
simd_avx2,ascii,smoothutf8_slack,134217728,17.19726
simd_avx2,ascii,smoothutf8_slackbuf,134217728,17.26877
simd_avx2,ascii,smoothutf8,268435456,12.80410
simd_avx2,ascii,simdutf8,268435456,12.54013
simd_avx2,ascii,std_from_utf8,268435456,8.77501
simd_avx2,ascii,smoothutf8_slack,268435456,12.61989
simd_avx2,ascii,smoothutf8_slackbuf,268435456,12.64990
simd_avx2,ascii,smoothutf8,536870912,11.40381
simd_avx2,ascii,simdutf8,536870912,11.32785
simd_avx2,ascii,std_from_utf8,536870912,7.99910
simd_avx2,ascii,smoothutf8_slack,536870912,11.36932
simd_avx2,ascii,smoothutf8_slackbuf,536870912,11.37268
